Neighborhood,OverallQual,YearRemodAdd,BsmtExposure,GrLivArea,KitchenQual,FireplaceQu,GarageType,GarageFinish,GarageCars,SalePrice
15,6,10,1,1786,2,1,4,2,2,204750
13,6,16,1,1470,1,3,5,3,2,185000
15,7,7,3,1588,2,1,4,2,2,214000
4,4,42,1,960,1,1,4,3,1,94750
4,5,60,1,835,1,1,3,1,1,83000
8,4,51,1,1225,1,1,0,0,0,128950
11,6,9,2,1610,2,3,4,2,2,205000
10,6,25,1,1732,2,3,4,3,2,178000
10,5,30,0,1535,1,1,4,1,2,118964
15,7,1,1,1226,2,1,4,2,3,198900
1,7,57,1,1818,1,3,2,1,1,169500
18,8,4,1,1992,2,4,4,2,2,250000
5,4,12,1,1047,1,1,2,1,1,100000
5,5,58,1,789,1,1,2,1,1,115000
1,5,2,1,1517,0,1,0,0,0,115000
11,6,33,1,1844,1,3,4,2,2,190000
4,6,34,1,1855,1,1,4,1,1,136900
13,7,10,1,1430,1,3,5,3,2,180000
15,7,0,3,2696,3,4,5,3,3,383970
16,6,54,2,2259,2,4,3,1,2,217000
16,6,5,1,2320,2,3,2,1,1,259500
18,6,8,1,1458,1,2,2,1,2,176000
6,5,47,1,1092,1,0,4,1,1,139000
4,5,0,1,1125,1,1,4,1,2,155000
10,7,20,2,3222,2,3,4,1,3,320000
15,6,0,1,1456,2,4,4,3,2,163990
17,6,37,4,988,1,3,4,1,2,180000
1,4,57,1,1123,1,1,2,1,1,100000
8,6,50,1,1080,1,1,4,1,1,136000
10,6,15,1,1199,2,1,4,2,2,153900
11,6,11,1,1586,1,3,4,1,2,181000
1,6,24,3,754,1,1,0,0,0,84500
12,6,31,1,958,1,3,4,2,2,128000
5,5,57,1,840,1,3,0,0,0,87000
8,6,40,1,1348,1,2,4,2,2,155000
8,5,15,1,1053,3,1,1,2,2,150000
8,7,40,1,2157,2,4,4,3,2,226000
13,6,9,1,2054,2,3,5,2,2,244000
8,5,5,1,1327,2,1,2,1,2,150750
19,8,7,1,1296,2,1,4,3,2,220000
6,5,13,1,1721,1,3,4,2,2,180000
11,7,38,1,1682,1,4,4,1,2,174000
8,5,40,1,1214,1,2,4,2,1,143000
9,7,17,1,1959,1,1,1,1,3,171000
15,8,8,2,1852,2,3,4,3,3,230000
15,6,12,1,1764,2,1,4,2,2,231500
8,4,39,1,864,1,0,0,0,0,115000
15,7,1,3,1734,2,1,4,3,2,260000
8,5,58,1,1385,1,1,2,1,2,166000
15,7,10,4,1501,2,1,4,2,2,204000
6,5,43,1,1728,1,1,2,1,2,125000
4,6,0,1,1709,2,1,2,1,2,130000
3,5,16,1,875,1,1,2,1,1,105000
13,7,9,1,2035,2,4,5,3,2,222500
10,7,3,1,1080,2,1,0,0,0,141000
3,5,56,1,1344,1,1,2,1,1,115000
15,5,32,3,969,1,1,4,1,2,122000
21,8,0,4,1710,2,4,4,2,3,372402
11,6,35,1,1993,1,4,4,2,2,190000
17,6,33,4,1252,1,4,4,2,2,235000
5,6,56,1,1200,1,1,2,1,1,125000
4,6,58,1,1096,1,1,0,0,0,79000
8,5,56,0,1040,1,1,2,1,2,109500
19,8,0,1,1968,3,4,5,3,3,269500
18,7,5,1,1947,2,4,4,2,2,254900
13,7,0,2,2462,2,4,4,2,2,320000
12,6,24,1,1232,1,1,4,1,2,162500
21,9,4,3,2668,3,4,5,3,3,412500
21,7,5,2,1541,2,4,4,2,2,220000
5,4,51,1,882,1,1,0,0,0,103200
5,6,3,2,1616,2,1,2,1,1,152000
4,5,9,1,1355,1,1,0,0,0,127500
17,5,16,1,1867,1,4,4,3,1,190000
21,8,0,1,2161,3,4,4,3,3,325624
13,7,3,1,1720,2,4,4,3,2,183500
19,8,25,1,1707,1,3,4,2,2,228000
5,5,57,1,1382,1,1,2,1,2,128500
8,6,50,4,1656,1,4,4,3,2,215000
20,7,19,1,1767,2,3,4,2,2,239000
8,6,47,1,1362,1,3,4,1,2,163000
19,6,22,1,1651,1,3,4,3,2,184000
4,6,6,3,2158,2,4,4,1,2,243000
17,6,18,1,2060,1,3,4,1,2,211000
6,5,48,1,1920,2,4,4,1,2,172500
20,9,0,1,2234,3,4,4,3,3,501837
5,5,1,1,968,1,1,2,1,2,100000
18,6,7,1,1525,2,3,2,1,2,177000
16,7,56,1,1802,1,4,2,1,1,200100
4,5,1,0,1340,1,4,4,2,1,120000
5,7,5,1,2082,2,1,2,1,2,200000
3,5,15,1,1252,1,1,4,1,2,127000
5,10,13,2,3608,3,3,2,1,3,475000
9,7,18,3,1217,2,1,4,1,2,173000
5,5,22,1,1656,1,1,2,1,1,135000
10,5,30,3,1224,1,3,2,1,2,153337
20,8,6,3,1593,3,4,4,3,2,286000
16,8,13,1,2727,2,3,2,1,2,315000
8,7,3,1,1479,2,1,4,3,2,184000
15,7,10,3,1431,2,1,4,3,2,192000
4,7,2,1,1709,2,1,2,1,2,130000
15,5,36,3,864,1,1,2,1,1,127000
12,6,33,1,1456,1,3,4,1,2,148500
18,7,0,1,1726,3,4,4,3,3,311872
8,8,16,1,3112,2,5,2,1,2,235000
5,6,59,1,2229,1,1,0,0,0,104000
21,8,4,3,1713,3,4,4,3,3,274900
4,4,6,1,1121,1,1,4,2,2,140000
9,6,31,1,1279,1,2,2,1,2,171500
5,6,56,1,1310,1,1,4,1,1,112000
15,6,4,3,848,2,4,4,2,2,149000
5,5,59,1,1284,1,1,2,1,1,110000
13,7,19,1,1442,1,1,4,2,2,180500
6,5,45,1,1696,1,3,4,2,1,143900
8,4,48,1,1100,1,0,4,2,1,141000
10,7,18,4,2062,1,4,4,3,2,277000
8,6,44,1,1092,1,1,4,2,2,145000
4,5,58,1,864,1,1,0,0,0,98000
4,6,1,2,1212,2,1,4,2,2,186000
18,7,0,1,1852,2,3,4,2,2,252678
15,5,11,1,990,1,1,4,1,2,156000
15,6,33,1,1392,1,1,4,3,1,161750
8,5,10,1,1236,2,2,4,1,1,134450
15,7,4,2,1436,2,1,4,1,2,210000
5,4,56,1,1328,1,1,2,1,1,107000
16,7,2,1,1954,2,3,4,1,2,311500
14,7,0,3,1248,2,1,4,3,2,167240
15,7,0,2,1498,2,1,4,2,2,204900
13,6,7,1,2267,2,3,5,2,2,200000
11,6,31,1,1552,1,3,4,2,2,179900
8,4,38,1,864,1,1,2,1,2,97000
21,10,6,4,2392,3,5,4,3,3,386250
2,5,38,1,1302,1,1,2,1,1,112000
22,7,12,1,2520,2,3,4,2,3,290000
2,6,38,1,987,1,1,2,1,1,106000
6,5,43,1,912,1,2,2,1,1,125000
14,7,3,3,1555,2,3,4,3,2,192500
8,6,51,1,1194,1,1,4,2,1,148000
22,8,13,1,2794,3,3,4,3,3,403000
2,6,34,1,987,1,0,4,1,1,94500
15,5,34,3,894,1,1,4,1,1,128200
13,6,8,1,1960,2,3,5,3,2,216500
2,6,37,1,987,1,1,2,1,1,89500
15,7,6,3,1414,2,1,4,2,2,185500
10,7,7,1,1744,2,1,4,2,2,194500
21,8,0,1,1694,2,1,4,3,3,318000
4,6,60,1,1487,1,4,2,1,1,113000
18,8,2,3,1566,2,1,4,2,2,262500
5,5,10,1,866,2,1,0,0,0,110500
5,5,56,1,1440,1,1,4,1,1,79000
10,6,29,1,1217,1,3,4,2,1,120000
10,7,8,1,2110,2,2,4,2,2,205000
11,7,18,3,1872,1,3,4,3,2,241500
5,6,56,1,1928,0,1,2,1,1,137000
8,6,52,1,1375,1,3,4,1,2,140000
15,7,4,1,1668,2,1,4,2,2,180000
17,6,1,4,2144,2,3,4,3,2,277000
3,3,44,1,1306,0,1,0,0,0,76500
16,8,0,4,1625,2,4,4,3,2,235000
10,6,4,1,1640,2,1,4,2,2,173000
8,6,16,4,1302,2,1,4,2,1,158000
8,5,53,1,1314,1,1,4,2,1,145000
13,7,7,1,2291,2,3,5,3,2,230000
18,6,5,1,1728,2,1,4,2,2,207500
15,7,3,1,1604,2,4,4,2,2,220000
15,7,7,1,1792,2,3,4,2,2,231500
5,5,52,0,882,1,1,2,1,1,97000
8,6,47,4,1382,1,3,4,1,2,176000
15,8,0,1,2574,3,4,5,3,3,276000
6,6,11,3,1212,1,3,4,1,2,151000
5,5,9,1,1316,1,1,2,1,2,130000
5,5,4,1,764,1,1,2,1,2,73000
11,6,27,1,1422,2,3,4,3,2,175500
13,6,9,3,1511,1,3,4,3,2,185000
7,5,11,1,2192,2,4,2,1,1,179500
1,5,53,1,778,1,4,2,3,1,120500
4,6,31,1,1113,1,2,4,2,1,148000
18,8,0,2,1939,2,4,4,2,3,266000
17,7,3,4,1363,1,3,4,1,2,241500
22,8,3,1,2270,2,4,4,3,3,290000
8,6,21,1,1632,1,4,4,2,1,139000
9,5,25,4,816,1,1,4,1,1,124500
3,7,2,1,1548,3,1,2,1,2,205000
9,7,7,1,1560,2,1,4,3,2,201000
13,4,59,1,864,1,1,2,1,2,141000
21,9,0,4,2121,3,5,4,3,3,415298
17,7,31,1,2022,1,3,4,3,2,192000
10,7,18,3,1982,2,3,4,3,2,228500
18,6,0,1,1262,2,1,4,3,2,185000
21,7,1,1,1314,2,4,4,2,2,207500
18,8,0,1,1468,2,4,4,3,3,244600
10,6,15,1,1575,2,1,4,2,2,179200
18,7,0,1,1250,2,1,2,2,2,164700
8,6,25,1,1734,2,4,4,2,2,159000
8,4,35,1,858,1,1,0,0,0,88000
6,5,43,1,900,1,1,2,1,1,122000
3,6,4,1,1396,1,1,2,1,1,153575
15,8,0,3,1919,2,4,4,2,2,233230
7,5,8,1,1716,0,1,0,0,0,135900
4,5,1,1,1716,1,4,4,1,1,131000
11,7,12,1,2263,2,3,4,3,2,235000
8,6,56,1,1644,1,4,4,3,2,167000
9,6,22,3,1003,1,1,2,1,2,142500
1,5,57,1,1558,1,1,4,1,1,152000
18,7,9,1,1950,2,3,2,2,2,239000
11,6,39,1,1743,1,4,4,1,2,175000
16,6,5,1,1152,2,4,4,1,1,158500
16,5,53,2,1336,1,4,4,1,1,157000
15,8,8,1,2452,2,3,5,3,2,267000
15,7,4,1,1541,2,3,4,2,3,205000
15,5,34,1,894,1,1,4,1,2,149900
5,7,6,1,3493,2,5,4,1,3,295000
15,8,2,1,2000,2,1,4,3,3,305900
10,7,16,1,2243,2,3,4,2,3,225000
1,6,58,1,1406,0,1,0,0,0,89500
4,4,59,1,861,1,1,2,1,2,82500
21,9,2,4,1944,3,5,4,3,3,360000
13,6,12,1,1501,2,3,4,3,2,165600
8,6,7,1,972,1,4,2,1,1,132000
5,5,56,2,1118,1,4,2,1,2,119900
19,7,44,4,2036,1,4,4,2,2,375000
5,7,16,1,1641,3,4,2,1,2,178000
13,7,4,1,1432,2,4,4,3,2,188500
11,7,29,1,2353,3,3,4,2,2,260000
18,8,1,3,1959,2,4,4,2,3,270000
22,7,16,4,2646,2,3,4,2,3,260000
11,7,29,3,1472,1,3,4,1,2,187500
21,9,0,3,2596,2,1,4,2,3,342643
21,8,3,3,2468,2,4,5,3,3,354000
10,7,20,4,2730,2,3,4,3,2,301000
5,3,1,1,1163,1,1,4,1,1,126175
8,7,3,1,2978,2,4,5,3,2,242000
1,5,57,3,803,1,1,2,1,2,87000
12,8,15,4,1719,2,4,4,3,2,324000
8,6,46,1,1383,1,1,4,2,1,145250
3,6,15,1,2134,2,1,2,1,2,214500
1,5,59,2,1192,1,1,2,1,1,78000
8,5,43,1,1728,1,1,2,1,1,119000
8,5,15,1,1056,1,1,4,2,1,139000
21,8,5,1,1629,2,4,4,2,3,284000
21,7,4,3,1358,2,4,4,2,2,207000
13,6,10,4,1638,1,3,4,3,2,192000
19,5,43,4,1786,1,4,4,3,2,228950
20,9,1,4,1922,2,4,4,3,3,377426
15,7,5,3,1536,2,1,4,2,2,214000
11,7,8,2,1621,2,1,4,2,2,202500
8,6,11,1,1215,1,1,4,1,1,155000
19,8,8,1,1908,2,1,4,3,2,202900
10,4,59,1,841,1,1,1,1,1,82000
8,3,56,0,1040,1,1,2,1,2,87500
21,9,3,1,1684,3,5,4,2,2,266000
0,5,34,1,1112,1,1,4,1,1,85000
3,6,56,1,1577,0,4,2,1,1,140200
8,6,9,2,958,1,1,4,2,1,151500
8,6,49,1,1478,1,4,4,1,2,157500
21,7,4,1,1626,2,1,5,2,2,154000
21,9,0,1,2728,3,5,4,3,3,437154
21,9,0,1,1869,3,4,4,2,2,318061
17,7,20,4,1453,2,3,4,2,2,190000
4,5,58,2,1111,1,1,2,1,1,95000
5,6,7,1,720,1,1,2,1,2,105900
7,6,6,1,1595,1,4,4,1,1,140000
15,6,12,1,1200,2,1,4,2,2,177500
13,6,17,1,1167,2,1,4,2,2,173000
0,5,31,1,1142,1,0,4,3,2,134000
17,5,48,3,1352,2,1,5,1,1,130000
22,8,8,3,1924,2,3,4,2,2,280000
9,6,29,3,912,1,3,4,2,2,156000
3,5,26,1,1505,1,1,2,1,1,145000
4,7,6,0,1922,2,5,5,2,2,198500
2,6,2,1,987,2,1,2,1,1,118000
11,6,30,2,1574,1,3,4,3,2,190000
1,5,12,1,1344,1,1,2,1,1,147000
8,6,46,1,1394,1,4,4,2,2,159000
8,6,46,4,1431,1,4,3,2,1,165000
8,5,56,1,1268,1,4,4,3,1,132000
8,5,4,1,1287,2,4,2,3,2,162000
13,6,6,1,1664,1,3,4,2,2,172400
17,4,49,0,1588,1,4,2,3,2,134432
10,6,26,1,752,1,1,4,1,1,125000
8,5,56,1,1319,1,1,4,1,1,123000
15,7,3,1,1928,2,4,5,3,2,219500
4,1,59,4,904,0,1,0,0,0,61000
15,5,10,3,914,1,1,2,1,2,148000
18,8,2,1,2466,2,4,4,2,2,340000
20,9,0,3,1856,3,5,4,3,3,394432
13,6,9,1,1800,1,3,4,3,2,179000
7,5,60,1,1691,2,4,2,1,1,127000
18,7,0,1,1301,2,4,4,2,2,187750
15,7,1,3,1797,2,1,4,2,2,213500
10,6,59,1,784,1,1,2,1,2,76000
17,6,15,3,1953,2,2,4,3,2,240000
14,8,5,1,1269,2,3,4,3,2,192000
4,5,10,1,1184,1,1,0,0,0,81000
4,6,33,3,1125,1,2,2,1,1,125000
15,7,8,1,1479,2,1,4,2,2,191000
21,10,0,3,2332,3,5,5,3,3,426000
4,5,58,1,1367,1,1,2,1,1,119000
9,6,7,1,1961,2,3,5,3,2,215000
8,5,48,0,882,1,1,4,2,1,106500
3,4,56,1,788,1,3,0,0,0,100000
5,5,57,1,1034,1,1,2,1,1,109000
4,5,54,3,1144,1,1,4,1,1,129000
15,5,37,3,894,1,1,2,2,2,123000
8,5,45,1,1812,1,3,4,2,1,169500
1,5,57,1,1077,1,1,2,1,1,67000
18,7,2,1,1550,2,1,4,3,2,241000
12,8,12,1,1288,3,4,4,3,2,245500
15,7,1,3,1310,2,4,4,3,2,164990
6,5,11,1,672,1,1,2,1,1,108000
22,8,8,1,2263,2,3,5,3,2,258000
13,6,11,1,1572,1,3,5,3,2,168000
6,4,16,1,1620,1,3,4,1,2,150000
7,6,58,1,1639,1,1,2,1,1,115000
16,6,32,1,1680,1,1,4,1,1,177000
21,7,1,1,2172,2,4,4,2,3,280000
18,8,0,1,2078,3,4,4,3,3,339750
4,5,51,1,1276,1,1,4,1,1,60000
13,5,51,2,1056,1,1,4,3,2,145000
18,7,1,3,1478,2,4,4,3,2,222000
5,5,60,1,1028,1,4,2,1,2,115000
10,7,15,1,2097,2,3,4,1,3,228000
13,7,0,3,1340,2,1,4,3,2,181134
6,6,28,1,1400,1,3,4,3,2,149500
16,6,57,1,2624,1,4,2,1,3,239000
4,5,57,1,1134,1,1,2,1,1,126000
8,5,42,1,1056,1,2,4,1,1,142000
9,7,10,4,1344,1,1,4,3,4,206300
11,6,9,1,1602,2,3,4,3,2,215000
9,5,54,1,988,1,1,4,2,2,113000
22,8,10,1,2630,2,3,4,3,3,315000
8,6,52,1,1196,1,4,4,2,1,139000
5,7,17,1,1389,1,4,2,1,1,135000
10,7,20,4,1644,2,3,4,3,2,275000
8,4,51,1,907,1,1,2,1,1,109008
15,7,0,1,1208,2,1,4,2,2,195400
19,6,21,2,1412,2,3,4,1,2,175000
2,6,37,1,987,1,1,2,1,1,85400
5,6,10,1,1198,1,1,0,0,0,79900
2,5,36,1,1365,1,1,2,1,2,122500
13,6,10,1,1604,1,3,4,3,2,181000
0,4,36,3,630,1,1,0,0,0,81000
15,7,13,3,1661,2,3,4,2,2,212000
5,6,56,1,1118,1,1,2,1,2,116000
3,6,5,1,904,1,1,2,1,1,119000
16,5,5,1,694,2,4,2,1,1,90350
4,6,9,2,1196,2,1,2,1,2,110000
21,10,1,4,2402,3,4,4,3,3,555000
4,4,53,1,1440,0,1,0,0,0,118000
3,5,16,1,1573,1,4,2,1,2,162900
14,7,0,3,1258,2,4,4,3,3,172500
15,7,13,1,1908,2,3,4,1,2,210000
4,6,53,1,1689,1,4,4,1,2,127500
8,6,8,1,1888,2,4,4,3,2,190000
13,7,7,1,1886,2,3,4,3,2,199900
1,6,56,1,1376,1,4,2,1,1,119500
5,3,5,1,1183,1,1,2,1,1,120000
5,6,1,1,813,2,1,2,1,1,110000
17,7,31,4,1533,2,3,4,1,2,280000
19,6,10,1,1756,1,1,4,3,2,204000
18,8,1,1,1590,2,1,4,2,2,210000
9,5,30,1,1728,1,1,2,1,2,188000
11,7,34,1,1242,1,3,4,1,2,175500
5,5,58,1,1344,1,1,2,1,3,98000
17,4,14,4,1663,2,4,4,3,2,256000
5,8,12,1,1666,2,4,2,1,1,161000
3,5,59,1,1203,2,3,2,1,1,110000
18,8,0,1,1935,1,1,5,3,2,263435
7,7,2,1,1135,2,1,2,2,2,155000
6,5,44,1,864,1,0,2,1,1,62383
16,6,13,1,1660,1,4,2,1,1,188700
15,5,31,1,1040,1,1,0,0,0,124000
14,7,2,1,1414,2,3,4,3,2,178740
8,7,37,4,1277,1,0,4,1,2,167000
8,5,12,1,1644,2,4,4,1,1,146500
21,8,1,1,1634,2,4,4,2,3,250000
10,6,15,1,1710,2,1,4,2,2,187000
20,8,25,3,1502,2,1,4,2,2,212000
11,7,30,1,1969,1,4,4,2,2,190000
4,6,3,4,1072,1,1,3,2,2,148000
21,8,0,4,1976,2,5,4,2,3,440000
20,8,7,3,1652,3,1,4,2,2,251000
6,5,44,1,970,1,1,2,1,2,132500
15,6,10,4,1493,2,3,4,3,2,208900
21,9,1,3,2643,3,4,5,3,3,380000
15,8,1,4,1718,2,4,4,2,3,297000
5,4,7,1,1131,1,1,2,1,2,89471
21,9,1,4,1850,2,4,4,3,3,326000
21,9,2,4,1792,3,4,4,3,3,374000
5,7,4,1,1826,3,4,4,1,1,155000
9,6,8,1,1216,1,1,4,1,2,164000
6,5,6,1,999,2,1,2,1,1,132500
8,5,2,1,1113,2,4,4,1,1,147000
8,5,42,1,1073,1,1,4,2,2,156000
11,5,36,3,1484,1,3,4,1,2,175000
5,5,36,1,2414,1,4,4,1,2,160000
0,4,7,3,630,2,1,4,1,1,86000
0,5,32,2,1304,1,4,5,3,1,115000
8,6,56,1,1578,0,3,4,1,1,133000
13,6,0,1,1456,1,1,4,2,2,172785
8,5,48,1,1269,1,2,2,1,1,155000
5,5,13,1,886,1,1,4,1,1,91300
1,4,59,1,720,1,1,0,0,0,34900
22,8,14,1,3228,2,4,4,2,2,430000
3,7,58,1,1820,1,1,2,1,1,184000
6,5,5,1,899,2,1,4,3,1,130000
8,5,22,1,912,1,1,4,3,1,120000
2,6,34,1,1218,1,1,2,1,1,113000
18,7,3,1,1768,2,1,4,2,2,226700
4,5,42,1,1214,1,1,2,1,2,140000
16,7,13,1,1801,1,3,4,3,2,289000
12,6,35,1,1322,1,2,4,1,2,147000
5,5,57,1,1960,1,1,2,1,2,124500
10,8,12,1,1911,2,3,4,2,2,215000
18,6,0,1,1218,2,1,4,3,2,208300
5,7,3,1,1378,2,4,2,1,2,161000
8,5,50,1,1041,1,1,4,2,1,124500
8,5,9,1,1363,1,3,1,1,1,164900
21,7,0,1,1368,2,4,4,2,2,202665
8,5,48,1,864,1,1,2,1,2,129900
9,6,24,1,1080,1,1,4,1,2,134000
16,5,57,1,789,1,1,2,1,1,96500
21,10,0,1,2020,3,4,4,3,3,402861
11,6,37,1,2119,1,3,4,2,2,158000
22,7,12,1,2344,2,3,4,2,3,265000
15,6,9,2,1796,1,1,4,2,2,211000
16,7,5,1,2080,2,4,2,1,1,234000
5,4,8,0,1294,1,1,0,0,0,106250
8,6,50,1,1244,1,4,4,1,1,150000
3,6,56,1,1664,1,4,2,1,2,159000
4,10,-1,4,4676,3,4,5,3,3,184750
22,7,10,1,2398,2,3,4,3,3,315750
18,7,1,1,1266,2,3,4,1,2,176000
8,5,7,1,928,1,1,4,1,1,132000
21,9,0,3,2713,3,4,4,3,3,446261
4,4,5,2,605,1,1,0,0,0,86000
16,6,32,1,2515,1,3,4,2,2,200624
19,6,19,3,1509,2,2,4,2,2,175000
3,6,9,2,1362,1,1,2,3,2,128000
8,5,3,0,827,1,0,2,1,1,107500
3,1,57,0,334,0,1,0,0,0,39300
13,8,2,3,1414,2,4,4,3,2,178000
4,5,17,4,1347,1,1,0,0,0,107500
15,7,9,3,1724,2,1,4,3,2,188000
8,4,36,1,864,1,1,2,1,2,111250
6,5,38,1,1159,1,2,4,1,1,158000
15,8,8,3,1601,2,3,4,2,2,272000
19,9,3,3,1838,3,4,4,3,3,315000
22,8,7,1,2285,2,3,5,3,3,248000
11,7,10,1,1680,2,3,4,3,2,213250
8,7,9,3,767,1,1,4,3,1,133000
13,7,0,3,1496,2,4,4,2,2,179665
11,7,18,1,2183,2,1,4,1,3,229000
3,6,57,1,1635,1,4,2,1,2,210000
9,5,37,3,768,1,1,2,1,2,129500
5,5,13,1,825,1,1,2,2,2,125000
18,7,5,1,2094,2,4,5,3,2,263000
12,6,31,1,1069,1,1,4,2,2,140000
5,5,51,1,928,1,1,4,3,1,112500
21,8,3,3,1717,2,4,4,2,3,255500
4,4,6,0,1126,2,1,2,3,2,108000
21,7,4,1,2046,2,4,5,2,3,284000
3,5,56,1,1048,1,4,2,1,1,113000
8,5,49,1,1092,1,3,4,3,1,141000
1,4,56,1,1336,1,1,1,1,1,108000
13,7,11,4,1446,1,3,4,1,2,175000
14,7,2,4,1557,2,3,4,3,2,234000
6,5,14,1,1392,1,4,2,1,2,121500
9,5,31,3,1389,1,3,4,2,2,170000
4,5,39,1,996,1,4,0,0,0,108000
4,6,58,2,1674,1,4,2,3,2,185000
22,7,6,1,2295,2,3,4,2,2,268000
7,6,60,1,1647,0,1,2,1,1,128000
20,9,1,1,2504,3,4,5,3,3,325000
21,7,6,1,1535,2,1,4,2,2,214000
10,8,0,4,2132,2,4,5,3,2,316600
8,5,27,4,943,1,3,2,1,2,135960
8,5,43,1,1728,1,1,2,1,2,142600
8,6,47,1,864,2,1,4,1,1,120000
19,7,0,3,1692,2,1,4,2,2,224500
13,7,7,1,1430,1,3,5,2,2,170000
8,5,2,3,1109,1,1,5,1,1,139000
8,5,58,1,1216,1,1,2,1,1,118500
7,7,59,1,1477,1,4,2,1,1,145000
6,5,40,3,1320,1,2,4,2,2,164500
18,7,1,1,1392,2,1,2,1,2,146000
5,5,54,1,1795,1,1,4,1,1,131500
